,Unnamed: 0,post_datetime,post_title_link,post_title_text,post_hood,detail_body,Completed,pay_from_post,pay_rate
34,34,2022-09-25T21:33:34.000Z,https://boston.craigslist.org/nwb/lbg/7538287154.html,Exterior Painting Prep Guy,Pepperell,,True,15.0,hourly
35,35,2022-09-25T21:30:16.000Z,https://boston.craigslist.org/gbs/lbg/7538285919.html,Shopper Gig Work - Shop and Deliver,Boston,,True,,hourly
36,36,2022-09-25T21:10:40.000Z,https://boston.craigslist.org/nos/lbg/7538278908.html,Carpenter/painter needed for hire,Beverly,,True,,lump
37,37,2022-09-25T20:36:55.000Z,https://boston.craigslist.org/gbs/cpg/7538266659.html,*The ULTIMATE Gig Opportunity! GROUND FLOOR Potential Income!*,Nationwide,,True,,daily
38,38,2022-09-25T19:04:16.000Z,https://boston.craigslist.org/nos/crg/7538231015.html,$$$ SEEKING PREGNANT WOMAN $$$,Salem,,True,,lump
39,39,2022-09-25T17:58:38.000Z,https://boston.craigslist.org/gbs/lbg/7538204381.html,JOURNEYMAN ELECTRICIAN GIG,WALTHAM,,True,30.0,daily
40,40,2022-09-25T17:44:22.000Z,https://boston.craigslist.org/gbs/tlg/7538198866.html,Looking for musicians/bands/DJs for live gigs,boston/cambridge/brookline,,True,600.0,lump
41,41,2022-09-25T17:22:00.000Z,https://boston.craigslist.org/gbs/dmg/7538189879.html,"Babysitting., flexible hours",Newton Center,,True,,weekly
42,42,2022-09-25T16:38:14.000Z,https://boston.craigslist.org/gbs/lbg/7538172557.html,small deliveries,boston/cambridge/brookline,,True,20.0,hourly
43,43,2022-09-25T15:59:51.000Z,https://boston.craigslist.org/gbs/wrg/7538092134.html,Agent for Speakers' Forums,"Washington, DC",,True,400.0,lump
44,44,2022-09-25T15:30:52.000Z,https://boston.craigslist.org/gbs/lbg/7538146817.html,👷 GENERAL LABORERS &RESET CREW-MUST START TONIGHT $18hrly-OVERNIGHTS,"FRAMINGHAM, MA",,True,18.0,hourly
45,45,2022-09-25T15:09:53.000Z,https://boston.craigslist.org/gbs/evg/7538138854.html,PART TIME SIGN INSTALLERS,NEEDHAM,,True,,lump
46,46,2022-09-25T13:47:21.000Z,https://boston.craigslist.org/gbs/lbg/7538111340.html,ASAP LABOR NEEDED - 2-3 Hours Roslindale MA,boston/cambridge/brookline,,True,25.0,lump
47,47,2022-09-25T13:15:39.000Z,https://boston.craigslist.org/nos/evg/7538103024.html,BUSINESS CARD DISTRIBUTION . . .,North Shore area,,True,,hourly
48,48,2022-09-25T09:11:48.000Z,https://boston.craigslist.org/gbs/dmg/7538073538.html,Do you use Execupay for payroll? Want $250 Join Our Beta!?,boston/cambridge/brookline,,True,250.0,lump
49,49,2022-09-25T08:59:10.000Z,https://boston.craigslist.org/gbs/evg/7538072866.html,Do you work at Compass Group? Join Our Software Beta & Get $100,boston/cambridge/brookline,,True,100.0,lump
50,50,2022-09-25T04:35:19.000Z,https://boston.craigslist.org/gbs/lbg/7538055273.html,Fatigue/Muscle Soreness Research Study,boston/cambridge/brookline,,True,3200.0,lump
51,51,2022-09-25T00:57:27.000Z,https://boston.craigslist.org/nos/lbg/7538016697.html,Carpenter///Painter,lynn ma,,True,,hourly
52,52,2022-09-24T22:37:54.000Z,https://boston.craigslist.org/gbs/dmg/7537976180.html,Seeking Professional Organizers in Boston,Boston,,True,,hourly
53,53,2022-09-24T19:49:15.000Z,https://boston.craigslist.org/gbs/lbg/7537911766.html,Handymen and Handywomen Wanted! Earn up to $1000/week on Your Schedule,boston/cambridge/brookline,,True,1000.0,weekly
54,54,2022-09-24T17:50:42.000Z,https://boston.craigslist.org/gbs/dmg/7537830944.html,Looking for Fitness lessons,Cambridge,,True,75.0,lump
55,55,2022-09-24T17:27:01.000Z,https://boston.craigslist.org/sob/lbg/7537844801.html,need movers,Wrentham,,True,,lump
56,56,2022-09-24T17:25:45.000Z,https://boston.craigslist.org/gbs/lbg/7537844159.html,Construction work,boston/cambridge/brookline,,True,22.0,hourly
57,57,2022-09-24T17:18:30.000Z,https://boston.craigslist.org/gbs/lbg/7537840700.html,ASAP LABOR NEEDED - 2-3 Hours Stoughton MA,boston/cambridge/brookline,,True,25.0,lump
58,58,2022-09-24T17:08:53.000Z,https://boston.craigslist.org/bmw/lbg/7537835707.html,💰📈💰📈NEED LOCAL LAWN CARE PRO LOOKING FOR STEADY JOBS,metro west,,True,1000.0,weekly
59,59,2022-09-24T15:48:16.000Z,https://boston.craigslist.org/bmw/lbg/7537794701.html,Garage Framing - Close to Waltham/Weston MA!!,metro west,,True,,lump
60,60,2022-09-24T15:35:22.000Z,https://boston.craigslist.org/nos/lbg/7537788569.html,Laborer wanted,Winthrop,,True,20.0,hourly
61,61,2022-09-24T13:29:22.000Z,https://boston.craigslist.org/nos/lbg/7537736946.html,Need help moving Pavers,north shore,,True,20.0,hourly
62,62,2022-09-24T13:09:45.000Z,https://boston.craigslist.org/gbs/lbg/7537731088.html,Door/security person needed tonight,Brighton,,True,25.0,hourly
63,63,2022-09-24T13:05:31.000Z,https://boston.craigslist.org/gbs/evg/7537729880.html,Door/Security Person needed tonight,Boston,,True,25.0,hourly
64,64,2022-09-24T11:58:20.000Z,https://boston.craigslist.org/sob/lbg/7537714421.html,Handy person that paints,Rockland,,True,,hourly
65,65,2022-09-24T11:32:28.000Z,https://boston.craigslist.org/nos/dmg/7537710269.html,Laundry attendant hiring & cleaner,Malden,,True,,lump
66,66,2022-09-24T10:45:46.000Z,https://boston.craigslist.org/gbs/lbg/7537704729.html,Demo debri clean up,Dorchester,,True,,lump
67,67,2022-09-24T10:17:43.000Z,https://boston.craigslist.org/nwb/cpg/7537702086.html,Administration coordinator,Lowell,,True,,lump
68,68,2022-09-24T10:02:59.000Z,https://boston.craigslist.org/gbs/dmg/7537700961.html,Focus Group on Healthcare,"Boston, MA",,True,100.0,lump
69,69,2022-09-24T05:16:33.000Z,https://boston.craigslist.org/gbs/lbg/7537682531.html,Seeking Paid Participants - Vision Study,boston/cambridge/brookline,,True,900.0,lump
70,70,2022-09-24T01:14:53.000Z,https://boston.craigslist.org/gbs/crg/7537638430.html,"Seeking participants test a new quiz show app. (Age 18-35, earn $75 from home!)",Boston,,True,75.0,lump
71,71,2022-09-23T23:13:24.000Z,https://boston.craigslist.org/gbs/lbg/7537598794.html,Immediate Need-A GUTTER CLEANER to cover Boston!,Boston,,True,30.0,hourly
72,72,2022-09-23T21:24:38.000Z,https://boston.craigslist.org/gbs/tlg/7537555590.html,Seeking Musicians for Paid Live Music Streaming gig,boston/cambridge/brookline,,True,150.0,lump
73,73,2022-09-23T21:01:06.000Z,https://boston.craigslist.org/gbs/tlg/7537545281.html,CASTING CALL: WILL YOUR FIANCÉ BE GOING TO JAIL SOON?,boston/cambridge/brookline,,True,,lump
74,74,2022-09-23T20:20:15.000Z,https://boston.craigslist.org/gbs/dmg/7537526821.html,Does your eating feel out of control?,McLean Hospital,,True,425.0,lump
75,75,2022-09-23T19:27:08.000Z,https://boston.craigslist.org/gbs/lbg/7537501081.html,This Saturday (9/24) Van + 2 people: move boxes from storage to apt,Brookline,,True,300.0,lump
76,76,2022-09-23T18:56:48.000Z,https://boston.craigslist.org/gbs/tlg/7537485531.html,Models wanted for fall boudoir nature photoshoot,Newburyport,,True,,lump
77,77,2022-09-23T18:35:55.000Z,https://boston.craigslist.org/gbs/lbg/7537474808.html,Have you experienced a traumatic event?,McLean Hospital,,True,320.0,lump
78,78,2022-09-23T17:38:33.000Z,https://boston.craigslist.org/bmw/lbg/7537444527.html,Miscellaneous Smaller Jobs Needed,Metro West,,True,,lump
79,79,2022-09-23T16:09:53.000Z,https://boston.craigslist.org/gbs/lbg/7537396583.html,Van Driver,boston/cambridge/brookline,,True,19.5,hourly
80,80,2022-09-23T15:26:31.000Z,https://boston.craigslist.org/gbs/tlg/7537374436.html,Tour Guide,Boston,,True,112.5,daily
81,81,2022-09-23T15:01:03.000Z,https://boston.craigslist.org/gbs/dmg/7537361652.html,🟧 🟦 🟨$75 to $150 Daily - Part Time Work from Anywhere🟩 🟧 🟪,boston/cambridge/brookline,,True,112.5,daily
82,82,2022-09-23T14:13:04.000Z,https://boston.craigslist.org/gbs/lbg/7537339717.html,COVID-19 mRNA-based vaccine study - Honorarium of $100,boston/cambridge/brookline,,True,100.0,lump
83,83,2022-09-23T14:12:52.000Z,https://boston.craigslist.org/bmw/dmg/7537339590.html,Homework help-Highschool,Wakefield,,True,40.0,hourly
84,84,2022-09-23T13:52:18.000Z,https://boston.craigslist.org/gbs/dmg/7537330390.html,Responsible and reliable person wanted,Back Bay/South End,,True,17.71,hourly
85,85,2022-09-23T13:42:35.000Z,https://boston.craigslist.org/nwb/dmg/7537326452.html,Is your mind sometimes flooded with images of a traumatic event?,McLean Hospital/Harvard Medical School,,True,280.0,lump
86,86,2022-09-23T13:34:16.000Z,https://boston.craigslist.org/nos/lbg/7537323457.html,Demo porches/decks on 3 decker,N Shore,,True,,lump
87,87,2022-09-23T13:09:49.000Z,https://boston.craigslist.org/gbs/lbg/7537314846.html,💰📈💰📈NEED HELP WITH GRASS CUTTING - RECURRING JOBS AVAILABLE,boston/cambridge/brookline,,True,1000.0,weekly
88,88,2022-09-23T13:00:14.000Z,https://boston.craigslist.org/gbs/lbg/7537311445.html,Package delivery driver: Upfront earnings & route transparency 🚗📦💰,boston/cambridge/brookline,,True,28.0,hourly
89,89,2022-09-23T12:46:35.000Z,https://boston.craigslist.org/gbs/lbg/7537307573.html,EVICTION MOVERS / FORECLOSURE JUNK HAULERS / PROCESS SERVERS NEEDED,boston/cambridge/brookline,,True,2500.0,weekly
90,90,2022-09-23T12:27:51.000Z,https://boston.craigslist.org/nos/tlg/7537303031.html,NEW INDY STREAMING CHANNEL SEEKS WOMEN FILMMAKERS,global,,True,6.0,lump
91,91,2022-09-23T12:27:03.000Z,https://boston.craigslist.org/bmw/lbg/7537302832.html,💰📈💰📈NEED LOCAL LAWN CARE PRO LOOKING FOR STEADY JOBS,metro west,,True,1000.0,weekly
92,92,2022-09-23T10:06:49.000Z,https://boston.craigslist.org/bmw/dmg/7537281711.html,Focus Group on Medical Conditions,"Boston, MA",,True,150.0,lump
93,93,2022-09-23T10:01:25.000Z,https://boston.craigslist.org/nwb/cwg/7537281313.html,Focus Group for Sales & Sales Ops Leaders,"Boston, MA",,True,225.0,lump
94,94,2022-09-23T09:27:50.000Z,https://boston.craigslist.org/sob/dmg/7537279098.html,Work from home 🌱$50k - $70k+ (No Exp Req)🌱 IMMEDIATE $500 bonus,"Boston (South Shore),MA",,True,206.66666666666663,lump
95,95,2022-09-23T02:33:34.000Z,https://boston.craigslist.org/gbs/lbg/7537237870.html,Urgent - Helpers needed for an ongoing work - Pls contact ASAP,Hydepark,,True,,lump
96,96,2022-09-23T01:30:29.000Z,https://boston.craigslist.org/gbs/cpg/7537223678.html,"<30 min remote study, $150 for selected participants",boston/cambridge/brookline,,True,150.0,lump
97,97,2022-09-23T01:08:05.000Z,https://boston.craigslist.org/bmw/lbg/7537218029.html,Gas fitter,metro west,,True,,lump
98,98,2022-09-23T01:03:10.000Z,https://boston.craigslist.org/gbs/dmg/7537216666.html,Focus Group on TV Shows,"Boston, MA",,True,162.5,lump
99,99,2022-09-22T23:21:36.000Z,https://boston.craigslist.org/sob/lbg/7537183890.html,Hiring Plumber (HVAC),Braintree,,True,40.0,hourly
100,100,2022-09-22T23:10:38.000Z,https://boston.craigslist.org/gbs/wrg/7537179919.html,Service Reviewer Needed - Get Paid $20 To Leave a Quick Review,Boston,,True,20.0,lump
101,101,2022-09-22T23:06:17.000Z,https://boston.craigslist.org/gbs/evg/7537178376.html,Audiovisual Technician Needed,"Boston, MA",,True,25.0,hourly
102,102,2022-09-22T22:40:24.000Z,https://boston.craigslist.org/sob/dmg/7537168948.html,Healthy Seniors Needed for a Study! Compensation Available,south shore,,True,,lump
103,103,2022-09-22T22:26:14.000Z,https://boston.craigslist.org/gbs/crg/7537163887.html,Professional Photographer Sought,Cambridge,,True,350.0,lump
104,104,2022-09-22T22:26:10.000Z,https://boston.craigslist.org/gbs/dmg/7537163869.html,Chronic Knee Pain Treatment,boston/cambridge/brookline,,True,,hourly
105,105,2022-09-22T21:51:17.000Z,https://boston.craigslist.org/gbs/lbg/7537150220.html,SEEKING 20-26YEAR OLDS LOOKING FOR EASY MONEY!,"Boston, MA",,True,15.0,lump
106,106,2022-09-22T21:05:21.000Z,https://boston.craigslist.org/sob/lbg/7537131103.html,Painter to paint 3 ceilings,Hull,,True,125.0,lump
107,107,2022-09-22T20:48:03.000Z,https://boston.craigslist.org/gbs/crg/7537123373.html,Sea Glass Paint Night Instructor,Boston,,True,,hourly
108,108,2022-09-22T20:47:22.000Z,https://boston.craigslist.org/gbs/cpg/7537123068.html,CAD drafter experienced in structural and civil drawings,boston/cambridge/brookline,,True,,lump
109,109,2022-09-22T20:43:56.000Z,https://boston.craigslist.org/gbs/crg/7537121498.html,Professional Portrait Photographer for Online Dating Portraits,Boston and surroundings,,True,200.0,lump
110,110,2022-09-22T20:32:37.000Z,https://boston.craigslist.org/gbs/lbg/7537116482.html,"Choose your Construction Shifts. Make up to $25/hr, get paid fast!",boston/cambridge/brookline,,True,25.0,hourly
111,111,2022-09-22T20:19:59.000Z,https://boston.craigslist.org/nwb/cpg/7537110848.html,University of Vermont remote quit smoking study – Earn up to $493,"Burlington, VT",,True,493.0,lump
112,112,2022-09-22T20:10:03.000Z,https://boston.craigslist.org/nos/lbg/7537106174.html,Cleaning and Moving,"Medford, MA",,True,20.0,hourly
113,113,2022-09-22T20:06:02.000Z,https://boston.craigslist.org/gbs/lbg/7537104228.html,Do you have posttraumatic stress disorder (PTSD)?,McLean Hospital,,True,320.0,lump
114,114,2022-09-22T19:58:08.000Z,https://boston.craigslist.org/nos/tlg/7537100092.html,Artist Models,Marblehead,,True,20.0,hourly
115,115,2022-09-22T19:53:59.000Z,https://boston.craigslist.org/gbs/tlg/7537098119.html,Male Photo Model,Boston,,True,,hourly
116,116,2022-09-22T19:47:47.000Z,https://boston.craigslist.org/gbs/dmg/7537095189.html,Are you an 18 to 40 year old woman?,McLean Hospital,,True,425.0,lump
117,117,2022-09-22T19:13:02.000Z,https://boston.craigslist.org/nwb/lbg/7537078403.html,Merchandiser $16-17/hr (ID 2022-23166),"littleton, MA",,True,16.0,hourly
118,118,2022-09-22T17:54:03.000Z,https://boston.craigslist.org/gbs/lbg/7537037634.html,--- Sign Wavers! $20hr ( Burlington ),Burlington,,True,20.0,hourly
119,119,2022-09-22T17:51:17.000Z,https://boston.craigslist.org/gbs/evg/7537036253.html,--- Sign Wavers! $20hr ( Burlington ),Burlington,,True,20.0,hourly
120,120,2022-09-22T17:34:38.000Z,https://boston.craigslist.org/gbs/lbg/7537027587.html,💰📈💰📈NEED HELP WITH GRASS CUTTING - RECURRING JOBS AVAILABLE,boston/cambridge/brookline,,True,1000.0,weekly
121,121,2022-09-22T17:14:20.000Z,https://boston.craigslist.org/nos/lbg/7537016626.html,Boat Yard Work,Ipswich,,True,,lump
122,122,2022-09-22T17:13:42.000Z,https://boston.craigslist.org/sob/lbg/7537016284.html,Plumber needed,Stoughton,,True,500.0,lump
123,123,2022-09-22T16:52:11.000Z,https://boston.craigslist.org/bmw/lbg/7537004725.html,🤑💰🤑💰GREAT $$$ FOR REGULAR HELP WITH LAWN CARE JOBS,metro west,,True,1000.0,weekly
124,124,2022-09-22T16:18:46.000Z,https://boston.craigslist.org/gbs/lbg/7536987446.html,Share your valuable opinions through online surveys,boston/cambridge/brookline,,True,,hourly
125,125,2022-09-22T15:49:38.000Z,https://boston.craigslist.org/gbs/lbg/7536971221.html,hiring labor crews,boston/cambridge/brookline,,True,18.0,lump
126,126,2022-09-22T15:35:38.000Z,https://boston.craigslist.org/gbs/lbg/7536963929.html,$160 Laborer 7 hours,charlestown,,True,160.0,hourly
127,127,2022-09-22T15:26:10.000Z,https://boston.craigslist.org/gbs/lbg/7536959110.html,Grocery Shoppers & Drivers Wanted! Earn up to $25/hr on Your Schedule,boston/cambridge/brookline,,True,25.0,hourly
128,128,2022-09-22T15:16:28.000Z,https://boston.craigslist.org/sob/evg/7536954473.html,Event Staff and Brand Ambassadors,Canton,,True,23.5,hourly
129,129,2022-09-22T15:09:37.000Z,https://boston.craigslist.org/gbs/cpg/7536951115.html,Stock Market Mentor,Boston,,True,,hourly
130,130,2022-09-22T14:36:14.000Z,https://boston.craigslist.org/gbs/dmg/7536935497.html,Teach kids Photography after-school 1x/week and make $55 an hour,boston/cambridge/brookline,,True,55.0,hourly
131,131,2022-09-22T14:28:22.000Z,https://boston.craigslist.org/gbs/evg/7536932054.html,🥂9/24 - Event Staff - Tips Bartenders/Spokes-model/Ambassador,Boston,,True,20.0,hourly
132,132,2022-09-22T14:14:26.000Z,https://boston.craigslist.org/gbs/dmg/7536926024.html,Teach kids Graphic Design after-school 1x/week and make $55 an hour,boston/cambridge/brookline,,True,55.0,hourly
133,133,2022-09-22T14:01:30.000Z,https://boston.craigslist.org/gbs/dmg/7536920533.html,Paid Hemophilia Study w/ Design Science,Boston,,True,550.0,hourly
134,134,2022-09-22T13:40:01.000Z,https://boston.craigslist.org/nos/evg/7536911347.html,--- Sign Wavers! $20hr ( Burlington ),Burlington,,True,20.0,hourly
135,135,2022-09-22T13:38:00.000Z,https://boston.craigslist.org/nos/lbg/7536910941.html,--- Sign Wavers! $20hr ( Burlington ),Burlington,,True,20.0,hourly
136,136,2022-09-22T13:25:36.000Z,https://boston.craigslist.org/nos/dmg/7536907410.html,🍒Make great money & change lives! Earn upto $70k+IMMEDIATE $500 bonus,"Boston (North Shore), MA",,True,285.0,lump
137,137,2022-09-22T13:23:38.000Z,https://boston.craigslist.org/nwb/lbg/7536906747.html,Odd Jobs,Northshore,,True,19.0,hourly
138,138,2022-09-22T12:56:16.000Z,https://boston.craigslist.org/sob/lbg/7536897772.html,SUMMIT WATERPROOFING& RESTORATION,Everywhere,,True,37.5,lump
139,139,2022-09-22T12:43:45.000Z,https://boston.craigslist.org/bmw/lbg/7536894372.html,Are memories of a trauma interfering with your life?,McLean Hospital/Harvard Medical School,,True,280.0,lump
140,140,2022-09-22T02:52:05.000Z,https://boston.craigslist.org/gbs/cwg/7536829987.html,camera person needed,Cambridge,,True,,lump
141,141,2022-09-22T01:05:01.000Z,https://boston.craigslist.org/gbs/evg/7536804280.html,Focus Group on Music Streaming,"Boston, MA",,True,75.0,lump
142,142,2022-09-21T23:40:26.000Z,https://boston.craigslist.org/gbs/cpg/7536776735.html,Electric Motor Scooter Repair Apprentice,Belmont,,True,18.0,lump
143,143,2022-09-21T23:06:50.000Z,https://boston.craigslist.org/gbs/tlg/7536765001.html,CASTING CALL: WILL YOUR FIANCÉ BE GOING TO JAIL SOON?,boston/cambridge/brookline,,True,,lump
144,144,2022-09-21T23:03:35.000Z,https://boston.craigslist.org/gbs/evg/7536763793.html,College Student Promotional Model,Boston,,True,25.0,hourly
145,145,2022-09-21T22:58:39.000Z,https://boston.craigslist.org/gbs/cpg/7536761752.html,LOOKING FOR DIGITAL MARKETER (S),ANWHERE IN USA,,True,,lump
146,146,2022-09-21T22:23:31.000Z,https://boston.craigslist.org/gbs/dmg/7536749100.html,Is your mind sometimes flooded with images of a traumatic event?,McLean Hospital/Harvard Medical School,,True,280.0,lump
147,147,2022-09-21T21:25:36.000Z,https://boston.craigslist.org/nwb/lbg/7536720952.html,In Need Of Professional Movers,northwest/merrimack,,True,20.0,hourly
148,148,2022-09-21T21:18:02.000Z,https://boston.craigslist.org/gbs/dmg/7536722397.html,$10 AMAZON GIFT CARD for ~5 Minutes of Your Time,Boston,,True,10.0,lump
149,149,2022-09-21T21:00:50.000Z,https://boston.craigslist.org/bmw/lbg/7536714622.html,Electrician wanted,Natick,,True,,lump
150,150,2022-09-21T20:04:33.000Z,https://boston.craigslist.org/bmw/lbg/7536689228.html,"Shed Installer, Build Only (WE Deliver, YOU Install!)",metro west,,True,1100.0,daily
151,151,2022-09-21T19:56:19.000Z,https://boston.craigslist.org/sob/lbg/7536684827.html,Hiring Plumber (HVAC),Braintree,,True,38.0,hourly
152,152,2022-09-21T18:40:37.000Z,https://boston.craigslist.org/gbs/lbg/7536647475.html,Paid research on depression and the brain,Belmont,,True,1038.5,lump
153,153,2022-09-21T18:40:19.000Z,https://boston.craigslist.org/sob/cpg/7536647328.html,Seeking healthy adults (40+) for MRI research study - $500,south shore,,True,500.0,lump
154,154,2022-09-21T18:38:30.000Z,https://boston.craigslist.org/gbs/lbg/7536646453.html,"Paid research on past depression, decision-making, and the brain",Belmont,,True,800.0,lump
155,155,2022-09-21T18:16:24.000Z,https://boston.craigslist.org/bmw/tlg/7536635736.html,Eyelash Extension Model needed,Milton,,True,50.0,lump
156,156,2022-09-21T18:04:54.000Z,https://boston.craigslist.org/gbs/dmg/7536630025.html,Weekly ironing of sheets,Wellesley,,True,,weekly
157,157,2022-09-21T18:04:00.000Z,https://boston.craigslist.org/gbs/lbg/7536629589.html,Slate Roofer Need,Boston area - also northshore area,,True,,lump
158,158,2022-09-21T17:58:02.000Z,https://boston.craigslist.org/gbs/wrg/7536626355.html,"Interested in politics/religions? Educate our 100,000 readers",Remote,,True,,lump
159,159,2022-09-21T17:56:21.000Z,https://boston.craigslist.org/gbs/evg/7536625528.html,OPEN CALL ZOOM for WAITERS AND BARTENDERS,Boston MA,,True,,hourly
160,160,2022-09-21T17:55:39.000Z,https://boston.craigslist.org/gbs/evg/7536625164.html,OPEN CALL ZOOM for WAITERS AND BARTENDERS,Boston MA,,True,,hourly
161,161,2022-09-21T17:33:54.000Z,https://boston.craigslist.org/gbs/lbg/7536614197.html,👀👀 LOOKING FOR LANDSCAPER - FULL TIME & PART TIME 💰,boston/cambridge/brookline,,True,1000.0,weekly
